company,company_type,title,link,sectors,work_place,career,education,salary,deadline,reg_info,reg_days_ago,posting_period_days
(주)퍼스트인,일반기업,"[스펙UP/LG이노텍/기숙사,통근,복지제공]스마트폰부품제조.검사",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187106,"단순생산직, 생산관리, 설비OP, 외관검사원, 품질검사원",경북 구미시 외,경력무관 · 계약직,학력무관,면접 후 협의,내일마감,4일 전 등록,4,알수없음
현대아이에이치엘(주),대기업,현대아이에이치엘(주) 일반직/생산직 신입 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54187090,"외관검사원, 품질검사원, 부품설계, 전장설계, 제조가공",경북 경주시 외,신입 · 정규직,고졸↑,면접 후 협의,내일마감,4일 전 등록,4,알수없음
(주)엘지경영개발원,일반기업,Information Security Internship (정보보안 인턴십),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186992,"정보보안, 정보통신, 클라우드",서울 강서구,경력무관 · 인턴직,"대학(2,3년)↑",면접 후 협의,~06.30(화),4일 전 등록,4,13
롯데오토케어(주),대기업,[롯데오토케어] 서비스케어팀/고장정비팀 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186886&adsCategoryItem=effect_bold&,"사무직, 서무, 문서작성, 서류관리, 자료입력",서울 영등포구 외,신입 · 계약직,학력무관,면접 후 협의,D-4,4일 전 등록,4,8
네이버(주),일반기업,2026 NAVER 하계 인턴십 : 프로덕트 트랙 (광고 소재 생성),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186843,"SE(시스템엔지니어), 트렌드분석, UI/UX디자인, Figma, UI/UX",경기 성남시 분당구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,D-2,4일 전 등록,4,6
(주)퍼스트인코리아,일반기업,"[시급11,500/7월까지/실업급여] 빠른입사 가능 조립 인원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186830,"QC, 조립, 플라스틱, 주간근무, 생산",경남 창원시 마산회원구 외,경력무관 · 계약직,학력무관,면접 후 협의,내일마감,4일 전 등록,4,알수없음
(주)퍼스트인코리아,일반기업,[일급11.5만원/3개월 단기/완전 초보 가능] 매장 보조스탭 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186689,"매장관리, 고객안내, 고객응대, 대형마트, 백화점",부산 기장군 외,경력무관 · 계약직,학력무관,면접 후 협의,내일마감,4일 전 등록,4,알수없음
유진투자증권(주),대기업,유진투자증권 해외주식팀(마케팅) 경력직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186655,"마케팅기획, 마케팅전략, 비즈니스마케팅, 제휴마케팅, 퍼포먼스마케팅",서울 영등포구,신입 · 경력 · 정규직 외,대학교(4년)↑,면접 후 협의,~06.28(일),4일 전 등록,4,11
(주)크리에이팁,일반기업,글로벌 마케팅 에이전시 부문별 경력/신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186632&adsCategoryItem=effect_bold&,"크리에이터, AE(광고기획자), 일본어, 마케팅기획, 마케팅전략",서울 강남구,신입 · 경력 · 정규직,대학교(4년)↑,면접 후 협의,~07.20(월),4일 전 등록,4,33
영화진흥위원회,공사·공기업,2026년 공무직(시설관리(기계설비)) 공개채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186474,"문서작성, 사무행정, 시설관리, 기계기사, 안전관리자",부산 기장군,신입 · 정규직 외,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
네이버(주),일반기업,2026 NAVER 하계 인턴십 : 프로덕트 트랙 (RAG 및 대화 평가),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186414,"챗봇, AI(인공지능), AIX, Python, 로봇엔지니어",경기 성남시 분당구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,D-2,4일 전 등록,4,6
네이버(주),일반기업,2026 NAVER 하계 인턴십 : 프로덕트 트랙 (AI 코딩 에이전트),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186212,"알고리즘, AI(인공지능), AIX, 알고리즘개발, 코딩",경기 성남시 분당구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,D-2,4일 전 등록,4,6
영화진흥위원회,공사·공기업,2026년 건축직(일반계약직) 공개채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54186088,"사업관리, 건축기사, 안전관리자, CM(건설사업관리)",부산 해운대구 외,신입 · 경력 · 계약직,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
네이버(주),일반기업,2026 NAVER 하계 인턴십 : 프로덕트 트랙 (광고 성과 개선),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54185949,"데이터분석가, 데이터엔지니어, 데이터마이닝, Python, 데이터 사이언티스트",경기 성남시 분당구,신입 · 인턴직,대학교(4년)↑,면접 후 협의,D-2,4일 전 등록,4,6
영화진흥위원회,공사·공기업,2026년 대체인력(사서) 공개채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54185875,"도서관사서, 도서관리, 기획",부산 해운대구,신입 · 계약직,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
삼정케이피엠지(유),일반기업,2026 신입 컨설턴트 공개 채용 (AI Center),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54185810,"백엔드/서버개발, 프론트엔드, 아키텍쳐, AI(인공지능), 경영컨설팅",서울 강남구,신입 · 정규직,대학교(4년)↑,면접 후 협의,~07.10(금),4일 전 등록,4,23
